ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
73	"ENSG00000141959"	"PFKL"	chr21	+	44325731	44326060	44325960	44326060	44325152	44325264	73	117,146	730,865	261,244	1001,774	328	99	2.03865329877e-05	0.00040250523072105163	0.046,0.048	0.073,0.087	-0.033
74	"ENSG00000241837"	"ATP5PO"	chr21	-	33903455	33903656	33903455	33903639	33903934	33904021	74	48,67	2984,3192	92,65	5019,5006	116	99	0.314341744002	0.7476125235690098	0.014,0.018	0.015,0.011	0.003
75	"ENSG00000156304"	"SCAF4"	chr21	-	31685048	31685240	31685048	31685174	31685397	31685484	75	289,363	63,84	502,447	78,78	165	99	0.0518352369098	0.2096796676477043	0.734,0.722	0.794,0.775	-0.056
78	"ENSG00000183765"	"CHEK2"	chr22	-	28695126	28695242	28695126	28695209	28695709	28695873	78	444,440	4,0	333,435	16,9	132	99	2.50947080549e-05	0.00048155423983244956	0.988,1.0	0.94,0.973	0.038
79	"ENSG00000186575"	"NF2"	chr22	+	29671825	29671948	29671912	29671948	29668332	29668446	79	315,448	0,2	426,479	0,5	186	99	1	1.0	1.0,0.992	1.0,0.981	0.006
80	"ENSG00000100150"	"DEPDC5"	chr22	+	31758526	31758633	31758545	31758633	31754861	31754979	80	0,0	42,52	2,2	49,46	118	99	0.728701194956	1.0	0.0,0.0	0.033,0.035	-0.034
82	"ENSG00000100150"	"DEPDC5"	chr22	+	31836971	31837155	31836998	31837155	31833914	31833980	82	13,25	13,36	8,28	24,39	126	99	0.305965476547	0.7332947402478524	0.44,0.353	0.208,0.361	0.112
83	"ENSG00000100150"	"DEPDC5"	chr22	+	31836971	31837155	31837093	31837155	31833914	31833980	83	42,75	4,7	33,78	6,6	221	99	0.736167489341	1.0	0.825,0.828	0.711,0.853	0.044
84	"ENSG00000100150"	"DEPDC5"	chr22	+	31836998	31837155	31837093	31837155	31833914	31833980	84	42,86	4,7	49,89	6,6	194	99	0.971100010739	1.0	0.843,0.862	0.806,0.883	0.008
85	"ENSG00000100150"	"DEPDC5"	chr22	+	31873171	31873332	31873254	31873332	31870589	31870744	85	0,8	110,102	3,2	50,80	182	99	0.836960638029	1.0	0.0,0.041	0.032,0.013	-0.002
86	"ENSG00000100150"	"DEPDC5"	chr22	+	31874272	31874405	31874277	31874405	31873254	31873332	86	70,73	3,2	37,82	4,0	104	99	0.885935811542	1.0	0.957,0.972	0.898,1.0	0.015
87	"ENSG00000100150"	"DEPDC5"	chr22	+	31876086	31876265	31876156	31876265	31874272	31874405	87	4,1	41,40	0,0	36,37	169	99	0.294975224175	0.7170450002186147	0.054,0.014	0.0,0.0	0.034
88	"ENSG00000215012"	"RTL10"	chr22	-	19846145	19852486	19846145	19847389	19854442	19854539	88	6540,8552	8,8	3887,3880	0,2	5196	99	0.00378856010445	0.02899878965883422	0.94,0.953	1.0,0.974	-0.041
89	"ENSG00000070371"	"CLTCL1"	chr22	-	19196265	19196656	19196265	19196415	19199733	19199841	89	14,39	0,0	104,52	3,2	340	99	0.012047504813	0.07080903151240946	1.0,1.0	0.91,0.883	0.103
90	"ENSG00000182944"	"EWSR1"	chr22	+	29272379	29272431	29272385	29272431	29272215	29272252	90	1009,1277	2,2	880,1070	0,2	105	99	1	1.0	0.998,0.998	1.0,0.998	-0.001
91	"ENSG00000182944"	"EWSR1"	chr22	+	29273737	29273864	29273740	29273864	29272379	29272431	91	44,57	1301,1648	36,37	1050,1319	102	99	0.568196393562	1.0	0.032,0.032	0.032,0.027	0.003
93	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29291561	29291599	29286922	29287134	93	5998,7330	6,12	5065,5301	3,1	3055	99	0.00451894072919	0.03332985414422132	0.97,0.952	0.982,0.994	-0.027
94	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29291564	29291599	29286922	29287134	94	6015,7342	6,4	5082,5331	2,4	3058	99	0.492739566421	0.9786790226099324	0.97,0.983	0.988,0.977	-0.006
95	"ENSG00000182944"	"EWSR1"	chr22	+	29291561	29291599	29291564	29291599	29286922	29287134	95	23,24	6,4	20,31	2,4	102	99	0.230746495159	0.6097862198717424	0.788,0.853	0.907,0.883	-0.075
97	"ENSG00000182944"	"EWSR1"	chr22	+	29291561	29291599	29291564	29291599	29288605	29288786	97	145,174	264,300	179,211	308,312	102	99	0.443278018719	0.9218728999533455	0.348,0.36	0.361,0.396	-0.025
98	"ENSG00000182944"	"EWSR1"	chr22	+	29291561	29291599	29291564	29291599	29288986	29289062	98	18,13	5,3	20,31	3,10	102	99	0.791152228035	1.0	0.777,0.808	0.866,0.751	-0.016
99	"ENSG00000182944"	"EWSR1"	chr22	+	29292487	29292606	29292499	29292606	29292158	29292169	99	1445,1703	0,1	1566,1814	4,4	111	99	1	1.0	1.0,0.999	0.997,0.998	0.002
103	"ENSG00000291064"	"RPL23AP7"	chr22	+	50788749	50789186	50788894	50789186	50785172	50785293	103	10,16	0,0	19,20	6,5	244	99	2.71494862492e-06	7.095588552447422e-05	1.0,1.0	0.562,0.619	0.409
104	"ENSG00000100401"	"RANGAP1"	chr22	-	41280932	41281212	41280932	41281082	41285985	41286187	104	29,42	344,395	38,59	349,663	229	99	0.945964243227	1.0	0.035,0.044	0.045,0.037	-0.001
107	"ENSG00000100201"	"DDX17"	chr22	-	38487878	38492115	38487878	38488115	38493709	38493771	107	29936,37146	0,0	25306,21354	2,0	4099	99	1	1.0	1.0,1.0	0.997,1.0	0.002
108	"ENSG00000100083"	"GGA1"	chr22	+	37613023	37613191	37613118	37613191	37608844	37608903	108	58,63	1,0	55,63	2,1	194	99	0.954615298417	1.0	0.967,1.0	0.933,0.97	0.032
109	"ENSG00000100083"	"GGA1"	chr22	+	37613023	37613191	37613118	37613191	37609065	37609356	109	60,61	0,1	55,65	0,0	194	99	1	1.0	1.0,0.969	1.0,1.0	-0.016
110	"ENSG00000100083"	"GGA1"	chr22	+	37614189	37614274	37614193	37614274	37613023	37613191	110	49,63	0,12	116,103	0,0	103	99	2.06744107044e-05	0.00040672069115958124	1.0,0.835	1.0,1.0	-0.083
111	"ENSG00000100099"	"HPS4"	chr22	-	26466225	26468623	26466225	26466262	26470718	26470813	111	1130,1191	0,2	381,553	0,0	2460	99	0.677382756454	1.0	1.0,0.96	1.0,1.0	-0.02
112	"ENSG00000100099"	"HPS4"	chr22	-	26470718	26470922	26470718	26470813	26472301	26472418	112	18,26	251,240	26,35	181,236	208	99	0.0322025838153	0.14694695943752667	0.033,0.049	0.064,0.066	-0.024
114	"ENSG00000100099"	"HPS4"	chr22	-	26470689	26472939	26470689	26472418	26476992	26477136	114	212,218	2,0	204,297	0,2	620	99	0.643475601797	1.0	0.944,1.0	1.0,0.96	-0.008
115	"ENSG00000253352"	"TUG1"	chr22	+	30972854	30973601	30972923	30973601	30972047	30972172	115	185,249	2,0	188,169	1,5	168	99	0.232617292732	0.6131007103379797	0.982,1.0	0.991,0.952	0.019
122	"ENSG00000100395"	"L3MBTL2"	chr22	+	41213850	41214026	41213892	41214026	41209695	41209933	122	4,8	104,166	5,19	201,226	141	99	0.444722565779	0.9233818193794043	0.026,0.033	0.017,0.056	-0.007
124	"ENSG00000099953"	"MMP11"	chr22	+	23781787	23782483	23782225	23782483	23781192	23781409	124	0,4	3,0	3,0	18,1	537	99	0.281165975928	0.694690184029922	0.0,1.0	0.03,0.0	0.485
125	"ENSG00000099953"	"MMP11"	chr22	+	23781787	23782483	23782367	23782483	23781192	23781409	125	3,5	0,0	11,9	0,2	679	99	0.314072633603	0.7472974692951085	1.0,1.0	1.0,0.396	0.302
126	"ENSG00000099953"	"MMP11"	chr22	+	23782225	23782483	23782367	23782483	23781192	23781409	126	6,1	0,0	26,10	0,2	241	99	0.626964622304	1.0	1.0,1.0	1.0,0.673	0.163
127	"ENSG00000250479"	"CHCHD10"	chr22	-	23766127	23766296	23766127	23766275	23767373	23767593	127	0,0	34,19	11,3	107,122	120	99	0.00384332690925	0.02927458895081929	0.0,0.0	0.078,0.02	-0.049
128	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22556930	22556811	22556909	22557544	22557580	128	476,570	388,472	1078,1152	575,443	120	99	1.90737312233e-06	5.2551252423288515e-05	0.503,0.499	0.607,0.682	-0.144
129	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22556977	22556811	22556909	22557544	22557580	129	253,297	388,472	477,433	575,443	167	99	0.00564307831687	0.0391898353205867	0.279,0.272	0.33,0.367	-0.073
130	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557086	22556811	22556909	22557544	22557580	130	454,515	388,472	759,676	575,443	276	99	0.0538300040785	0.21591220557778987	0.296,0.281	0.321,0.354	-0.049
131	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22556977	22556811	22556930	22557544	22557580	131	77,90	300,363	133,98	734,817	146	99	0.000519926036989	0.005961164562458786	0.148,0.144	0.109,0.075	0.054
132	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557086	22556811	22556930	22557544	22557580	132	278,308	300,363	415,341	734,817	255	99	1.25533249873e-06	3.74172039890225e-05	0.265,0.248	0.18,0.139	0.097
133	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557086	22556811	22556977	22557544	22557580	133	201,220	0,2	289,249	7,6	208	99	0.0037857957735	0.028997923088615547	1.0,0.981	0.952,0.952	0.038
134	"ENSG00000100227"	"POLDIP3"	chr22	-	42595536	42595614	42595536	42595603	42596185	42596365	134	851,917	0,2	862,731	1,2	110	99	1	1.0	1.0,0.998	0.999,0.997	0.001
135	"ENSG00000100227"	"POLDIP3"	chr22	-	42601969	42602107	42601969	42602056	42602769	42603160	135	5,11	377,421	3,4	301,236	150	99	0.716584046186	1.0	0.009,0.017	0.007,0.011	0.004
139	"ENSG00000093072"	"ADA2"	chr22	-	17178789	17180486	17178789	17179760	17181486	17181576	139	1514,1946	0,2	666,479	0,0	825	99	1	1.0	1.0,0.992	1.0,1.0	-0.004
140	"ENSG00000093072"	"ADA2"	chr22	-	17182603	17182761	17182603	17182740	17188338	17188447	140	385,464	0,4	118,77	0,0	120	99	1	1.0	1.0,0.99	1.0,1.0	-0.005
143	"ENSG00000093072"	"ADA2"	chr22	-	17209355	17209751	17209355	17209723	17219355	17219435	143	8,11	137,127	5,8	28,37	127	99	0.0258062391623	0.12456692142861317	0.044,0.063	0.122,0.144	-0.08
144	"ENSG00000093072"	"ADA2"	chr22	-	17209355	17209723	17209355	17209598	17221726	17222101	144	217,267	0,2	53,51	0,0	224	99	1	1.0	1.0,0.983	1.0,1.0	-0.008
146	"ENSG00000251322"	"SHANK3"	chr22	+	50705375	50706152	50706071	50706152	50704963	50705096	146	84,76	49,34	98,125	27,21	795	99	0.000516300242226	0.005932029463726878	0.176,0.218	0.311,0.426	-0.171
147	"ENSG00000100211"	"CBY1"	chr22	+	38670766	38670989	38670883	38670989	38668016	38668132	147	84,93	55,86	122,142	123,163	216	99	0.087916298253	0.3094042697205	0.412,0.331	0.313,0.285	0.073
149	"ENSG00000100242"	"SUN2"	chr22	-	38750224	38750383	38750224	38750320	38750897	38751035	149	10,12	1271,1472	4,8	782,1000	162	99	1	1.0	0.005,0.005	0.003,0.005	0.001
150	"ENSG00000100350"	"FOXRED2"	chr22	-	36493632	36493803	36493632	36493798	36495966	36496208	150	78,93	2,0	137,137	4,0	104	99	0.656013710969	1.0	0.974,1.0	0.97,1.0	0.002
151	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46151887	46151970	151	10,14	15,16	12,11	14,13	102	99	0.805553200408	1.0	0.393,0.459	0.454,0.451	-0.026
152	"ENSG00000186951"	"PPARA"	chr22	+	46198341	46198591	46198344	46198591	46188722	46188822	152	3,9	21,26	0,5	4,10	102	99	0.883124276726	1.0	0.122,0.251	0.0,0.327	0.023
153	"ENSG00000100241"	"SBF1"	chr22	-	50446805	50447240	50446805	50447201	50447321	50447453	153	942,1230	2,6	936,753	11,0	138	99	0.864033348622	1.0	0.997,0.993	0.984,1.0	0.003
154	"ENSG00000100241"	"SBF1"	chr22	-	50447321	50447453	50447321	50447422	50447521	50447609	154	946,1020	2,10	779,740	3,4	130	99	1	1.0	0.997,0.987	0.995,0.993	-0.002
155	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448433	50448232	50448375	50448542	50448650	155	353,411	1,2	319,251	0,0	157	99	1	1.0	0.996,0.992	1.0,1.0	-0.006
156	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448444	50448232	50448375	50448542	50448650	156	1008,1138	1,2	881,683	0,0	168	99	1	1.0	0.998,0.997	1.0,1.0	-0.002
157	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448444	50448232	50448433	50448542	50448650	157	659,731	4,4	571,432	9,0	110	99	0.86981024469	1.0	0.993,0.994	0.983,1.0	0.002
158	"ENSG00000100241"	"SBF1"	chr22	-	50448542	50448650	50448542	50448647	50454511	50454742	158	577,698	1,2	546,478	0,2	102	99	1	1.0	0.998,0.997	1.0,0.996	-0.0
161	"ENSG00000100241"	"SBF1"	chr22	-	50454511	50454742	50454511	50454725	50454813	50454944	161	652,805	18,11	559,418	11,5	116	99	0.468795893047	0.9548769977929397	0.969,0.984	0.977,0.986	-0.005
162	"ENSG00000100241"	"SBF1"	chr22	-	50454813	50454944	50454813	50454927	50455015	50455142	162	698,856	2,0	573,510	1,0	116	99	1	1.0	0.997,1.0	0.998,1.0	-0.001
163	"ENSG00000100241"	"SBF1"	chr22	-	50454813	50455142	50454813	50454944	50455223	50455409	163	672,778	0,0	558,415	2,2	297	99	1	1.0	1.0,1.0	0.989,0.986	0.012
164	"ENSG00000100241"	"SBF1"	chr22	-	50455015	50455142	50455015	50455130	50455223	50455409	164	719,807	7,20	558,441	6,17	111	99	0.434224485352	0.9126724482667516	0.989,0.973	0.988,0.959	0.007
165	"ENSG00000100241"	"SBF1"	chr22	-	50454813	50455409	50454813	50455142	50455480	50455582	165	860,832	0,0	596,510	0,2	366	99	1	1.0	1.0,1.0	1.0,0.986	0.007
166	"ENSG00000100241"	"SBF1"	chr22	-	50455223	50455409	50455223	50455391	50455480	50455582	166	729,717	0,2	500,413	1,0	117	99	1	1.0	1.0,0.997	0.998,1.0	-0.001
168	"ENSG00000100241"	"SBF1"	chr22	-	50456491	50457111	50456491	50456673	50459254	50459392	168	348,571	267,353	266,186	204,270	537	99	0.00237924657817	0.020152311996846032	0.194,0.23	0.194,0.113	0.059
169	"ENSG00000100241"	"SBF1"	chr22	-	50456491	50459392	50456491	50456673	50459469	50459666	169	1252,1597	0,0	818,682	0,2	2818	99	0.46281178076	0.9472745617426795	1.0,1.0	1.0,0.923	0.038
170	"ENSG00000100241"	"SBF1"	chr22	-	50459254	50459392	50459254	50459381	50459469	50459666	170	427,538	4,6	365,317	1,5	110	99	1	1.0	0.99,0.988	0.997,0.983	-0.001
171	"ENSG00000100241"	"SBF1"	chr22	-	50459254	50459410	50459254	50459381	50459469	50459666	171	43,106	4,6	50,73	1,5	128	99	0.418788586817	0.8940632304905842	0.893,0.932	0.975,0.919	-0.034
172	"ENSG00000100241"	"SBF1"	chr22	-	50459254	50459410	50459254	50459392	50459469	50459666	172	10,19	394,451	5,17	320,261	117	99	0.922285991775	1.0	0.021,0.034	0.013,0.052	-0.005
173	"ENSG00000100241"	"SBF1"	chr22	-	50459254	50459410	50459254	50459392	50459951	50460159	173	6,20	6,0	5,14	0,2	117	99	0.118086016739	0.38101028055787084	0.458,1.0	1.0,0.856	-0.199
174	"ENSG00000100241"	"SBF1"	chr22	-	50460533	50460712	50460533	50460685	50461158	50461286	174	615,683	5,2	394,354	0,6	126	99	0.916236476752	1.0	0.99,0.996	1.0,0.979	0.003
175	"ENSG00000100241"	"SBF1"	chr22	-	50461158	50461286	50461158	50461275	50461522	50461718	175	466,495	0,2	269,268	0,0	110	99	1	1.0	1.0,0.996	1.0,1.0	-0.002
176	"ENSG00000100241"	"SBF1"	chr22	-	50461946	50462119	50461946	50462107	50462204	50462470	176	579,672	1,0	365,348	0,0	111	99	1	1.0	0.998,1.0	1.0,1.0	-0.001
177	"ENSG00000100241"	"SBF1"	chr22	-	50462204	50462473	50462204	50462470	50462558	50462717	177	596,664	5,2	381,353	0,2	102	99	1	1.0	0.991,0.997	1.0,0.994	-0.003
178	"ENSG00000100241"	"SBF1"	chr22	-	50462558	50462714	50462558	50462682	50462869	50462938	178	121,150	0,4	71,70	0,2	131	99	0.837698813611	1.0	1.0,0.966	1.0,0.964	0.001
179	"ENSG00000100241"	"SBF1"	chr22	-	50462558	50462717	50462558	50462682	50462869	50462938	179	569,753	0,4	350,367	0,2	134	99	1	1.0	1.0,0.993	1.0,0.993	0.0
180	"ENSG00000100241"	"SBF1"	chr22	-	50462558	50462717	50462558	50462714	50462869	50462938	180	449,609	1,6	280,297	1,0	102	99	1	1.0	0.998,0.99	0.996,1.0	-0.004
182	"ENSG00000100241"	"SBF1"	chr22	-	50465000	50465129	50465000	50465125	50465214	50465328	182	397,532	2,2	257,230	2,0	103	99	1	1.0	0.995,0.996	0.992,1.0	-0.0
183	"ENSG00000100241"	"SBF1"	chr22	-	50465214	50465340	50465214	50465328	50465762	50465840	183	17,21	276,382	8,13	173,180	111	99	1	1.0	0.052,0.047	0.04,0.061	-0.001
184	"ENSG00000100241"	"SBF1"	chr22	-	50465960	50466043	50465960	50465998	50466149	50466258	184	121,171	0,3	91,65	0,0	144	99	0.935880752103	1.0	1.0,0.975	1.0,1.0	-0.012
185	"ENSG00000100241"	"SBF1"	chr22	-	50465960	50466074	50465960	50465998	50466149	50466258	185	630,805	0,3	414,310	0,0	175	99	1	1.0	1.0,0.993	1.0,1.0	-0.004
187	"ENSG00000100241"	"SBF1"	chr22	-	50465960	50466258	50465960	50466074	50466349	50466482	187	379,492	0,2	267,230	0,0	283	99	1	1.0	1.0,0.989	1.0,1.0	-0.006
188	"ENSG00000100241"	"SBF1"	chr22	-	50466349	50466513	50466349	50466482	50466604	50466710	188	31,33	394,464	9,7	245,197	130	99	0.00612690031155	0.04178057082776428	0.057,0.051	0.027,0.026	0.028
189	"ENSG00000100241"	"SBF1"	chr22	-	50467337	50467448	50467337	50467443	50467531	50467690	189	417,531	8,23	238,204	6,1	104	99	0.0315826121695	0.14490378016358682	0.98,0.956	0.974,0.995	-0.016
190	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467690	50467531	50467611	50467785	50467923	190	680,838	10,14	409,342	4,5	178	99	0.337735530515	0.7838216067840165	0.974,0.971	0.983,0.974	-0.006
191	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467693	50467531	50467611	50467785	50467923	191	370,442	10,14	211,175	4,5	181	99	0.39465132224	0.8623044671716181	0.953,0.945	0.967,0.95	-0.009
192	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467693	50467531	50467690	50467785	50467923	192	99,128	409,524	49,50	247,217	102	99	0.405442417853	0.8766019305151441	0.19,0.192	0.161,0.183	0.019
194	"ENSG00000133460"	"SLC2A11"	chr22	+	23875116	23875241	23875120	23875241	23862103	23862202	194	2,1	0,2	13,7	2,7	103	99	0.314697138447	0.7479698610024524	1.0,0.325	0.862,0.49	-0.013
195	"ENSG00000133460"	"SLC2A11"	chr22	+	23875084	23875241	23875116	23875241	23868480	23868641	195	0,0	87,129	3,0	231,211	131	99	1	1.0	0.0,0.0	0.01,0.0	-0.005
196	"ENSG00000133460"	"SLC2A11"	chr22	+	23875084	23875241	23875120	23875241	23868480	23868641	196	0,1	26,27	8,0	60,30	135	99	0.0152582597385	0.08424777638551893	0.0,0.026	0.089,0.0	-0.032
197	"ENSG00000133460"	"SLC2A11"	chr22	+	23875116	23875241	23875120	23875241	23868480	23868641	197	87,130	26,27	236,211	60,30	103	99	0.377506390841	0.8385793872905886	0.763,0.822	0.791,0.871	-0.038
198	"ENSG00000133460"	"SLC2A11"	chr22	+	23877384	23877869	23877720	23877869	23877041	23877171	198	58,77	20,26	71,107	22,15	435	99	0.1454309438	0.44101016448139724	0.398,0.403	0.423,0.619	-0.12
199	"ENSG00000133460"	"SLC2A11"	chr22	+	23882458	23882646	23882494	23882646	23877041	23877171	199	166,165	0,0	323,203	2,0	135	99	1	1.0	1.0,1.0	0.992,1.0	0.004
200	"ENSG00000133460"	"SLC2A11"	chr22	+	23882458	23882646	23882494	23882646	23877857	23877869	200	66,108	0,2	117,86	0,0	135	99	1	1.0	1.0,0.975	1.0,1.0	-0.012
201	"ENSG00000133460"	"SLC2A11"	chr22	+	23883873	23884024	23883948	23884024	23882758	23882869	201	12,24	0,2	38,34	3,0	174	99	0.710765201687	1.0	1.0,0.872	0.878,1.0	-0.003
