ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
40	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875	40	222,332	595,729	296,299	663,604	1680	99	0.321376647504	0.5351885172180337	0.022,0.026	0.026,0.028	-0.003
41	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060	41	388,425	6,0	749,810	0,3	1142	99	0.0654491161547	0.15140012870678055	0.849,1.0	1.0,0.959	-0.055
42	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33906448	33906500	33907340	33907453	42	155,201	5,1	159,191	1,6	939	99	0.788548089566	0.9873804327731335	0.766,0.955	0.944,0.77	0.004
44	"ENSG00000293485"	"SERHL"	chr22	+	42510630	42511927	42510630	42510724	42511815	42511927	44	773,877	3,0	1561,1718	11,10	1190	99	0.00313841121662	0.011802689745933986	0.955,1.0	0.922,0.935	0.049
45	"ENSG00000186575"	"NF2"	chr22	+	29683019	29683915	29683019	29683064	29683700	29683915	45	25,28	0,2	20,33	6,0	735	99	0.169881560726	0.3243384473336324	1.0,0.653	0.31,1.0	0.171
46	"ENSG00000138942"	"RNF185"	chr22	+	31204488	31207013	31204488	31204966	31205376	31207013	46	765,890	0,0	2031,2147	0,3	509	99	1	1.0	1.0,1.0	1.0,0.993	0.004
48	"ENSG00000185133"	"INPP5J"	chr22	+	31126612	31127532	31126612	31126721	31127356	31127532	48	6,0	0,0	81,28	10,2	734	99	1	1.0	1.0,NA	0.522,0.654	0.412
49	"ENSG00000185133"	"INPP5J"	chr22	+	31133609	31134696	31133609	31133714	31133912	31134696	49	0,0	1,0	12,6	110,63	297	99	1	1.0	0.0,NA	0.035,0.031	-0.033
50	"ENSG00000198832"	"SELENOM"	chr22	-	31105929	31107533	31105929	31105965	31107376	31107533	50	14,8	139,161	131,100	842,769	1510	99	1	1.0	0.007,0.003	0.01,0.008	-0.004
51	"ENSG00000070371"	"CLTCL1"	chr22	-	19196265	19196656	19196265	19196415	19196488	19196656	51	1,5	17,15	35,18	36,28	172	99	0.000375443460335	0.0018948967844376683	0.033,0.161	0.359,0.27	-0.217
53	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29291561	29291599	53	4601,5709	128,162	3848,3756	162,181	2874	99	0.00023849786826	0.0012684273255426741	0.553,0.548	0.45,0.417	0.117
54	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29291564	29291599	54	4618,5721	264,300	3865,3786	308,312	2877	99	0.000756990913531	0.0034648273307940256	0.376,0.396	0.302,0.295	0.088
55	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299280	29298732	29298895	29299194	29299280	55	250,261	48,43	351,359	9,24	398	99	3.90893558633e-08	5.191954547282033e-07	0.564,0.602	0.907,0.788	-0.265
56	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299851	29298732	29298895	29299598	29299851	56	405,476	0,0	504,533	0,1	802	99	1	1.0	1.0,1.0	1.0,0.985	0.008
57	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299851	29298732	29299280	29299598	29299851	57	747,1010	12,28	908,1036	6,16	417	99	0.0106732173475	0.03348179604498272	0.937,0.895	0.973,0.939	-0.04
58	"ENSG00000291064"	"RPL23AP7"	chr22	+	50783765	50784072	50783765	50783864	50783979	50784072	58	66,66	10,3	202,169	3,10	214	99	0.0318400980111	0.08366020985756169	0.753,0.911	0.969,0.887	-0.096
59	"ENSG00000291064"	"RPL23AP7"	chr22	+	50788749	50789354	50788749	50788802	50788891	50789354	59	4,2	0,0	4,3	2,1	188	99	0.00904782505807	0.029116791481704003	1.0,1.0	0.513,0.612	0.438
60	"ENSG00000291064"	"RPL23AP7"	chr22	+	50788749	50789186	50788749	50788798	50788894	50789186	60	4,2	9,4	4,3	9,15	195	99	0.640724487777	0.867976658784728	0.184,0.202	0.184,0.092	0.055
61	"ENSG00000100055"	"CYTH4"	chr22	+	37311455	37312174	37311455	37311527	37312019	37312174	61	11,10	3,10	16,2	6,2	591	99	0.780313846564	0.9805978755770157	0.381,0.143	0.309,0.143	0.036
62	"ENSG00000100201"	"DDX17"	chr22	-	38487878	38492115	38487878	38488115	38492055	38492115	62	28792,35829	882,1073	24304,20269	919,1070	4039	99	0.000742079634839	0.003410737666499442	0.444,0.45	0.393,0.317	0.092
63	"ENSG00000100097"	"LGALS1"	chr22	+	37678375	37678654	37678375	37678392	37678482	37678654	63	22,18	0,1	402,413	6,1	189	99	0.655170217895	0.8811342926970572	1.0,0.904	0.972,0.995	-0.032
64	"ENSG00000100099"	"HPS4"	chr22	-	26463916	26464826	26463916	26464443	26464590	26464826	64	598,723	2,4	653,697	0,1	246	99	1	1.0	0.992,0.986	1.0,0.996	-0.009
65	"ENSG00000100099"	"HPS4"	chr22	-	26463916	26466262	26463916	26464826	26465454	26466262	65	44,34	323,344	43,60	269,323	727	99	0.0373425266864	0.09526356312031366	0.018,0.013	0.021,0.025	-0.007
66	"ENSG00000100099"	"HPS4"	chr22	-	26463916	26466262	26463916	26464826	26466225	26466262	66	360,302	0,2	153,251	11,19	1498	99	4.1927572525e-12	1.1680688706694045e-10	1.0,0.909	0.479,0.466	0.482
67	"ENSG00000100099"	"HPS4"	chr22	-	26465454	26466262	26465454	26465551	26466225	26466262	67	356,282	234,237	126,199	199,239	773	99	9.94383601272e-06	7.65070613261817e-05	0.163,0.132	0.075,0.096	0.062
68	"ENSG00000100099"	"HPS4"	chr22	-	26466225	26468623	26466225	26466262	26468550	26468623	68	927,1014	173,170	227,341	161,212	2387	99	0	0.0	0.182,0.198	0.055,0.063	0.131
69	"ENSG00000100099"	"HPS4"	chr22	-	26470689	26472939	26470689	26472418	26472831	26472939	69	8,8	222,245	18,15	207,258	512	99	0.280568540649	0.4831839830815293	0.007,0.006	0.017,0.011	-0.007
71	"ENSG00000185339"	"TCN2"	chr22	+	30612872	30614501	30612872	30612961	30614348	30614501	71	4,4	0,0	10,0	1,0	1486	99	1	1.0	1.0,1.0	0.4,NA	0.6
72	"ENSG00000185339"	"TCN2"	chr22	+	30612872	30614501	30612872	30613042	30614348	30614501	72	4,4	0,0	0,0	8,0	1405	99	1	1.0	1.0,1.0	0.0,NA	1.0
73	"ENSG00000100395"	"L3MBTL2"	chr22	+	41217122	41219536	41217122	41217202	41219418	41219536	73	224,323	113,99	98,172	166,186	2315	99	7.77156117238e-16	3.679333593083218e-14	0.078,0.122	0.025,0.038	0.069
74	"ENSG00000100395"	"L3MBTL2"	chr22	+	41227088	41227869	41227088	41227323	41227803	41227869	74	90,111	147,140	101,65	241,242	579	99	1.12157065419e-05	8.56946607760815e-05	0.095,0.119	0.067,0.044	0.051
75	"ENSG00000100325"	"ASCC2"	chr22	-	29793359	29793676	29793359	29793490	29793576	29793676	75	25,33	328,381	57,46	489,590	185	99	0.389558545906	0.6194566863294049	0.039,0.044	0.059,0.04	-0.008
76	"ENSG00000099953"	"MMP11"	chr22	+	23779186	23780502	23779186	23779368	23780358	23780502	76	0,6	0,0	7,2	0,1	1089	99	1	1.0	NA,1.0	1.0,0.154	0.423
77	"ENSG00000099953"	"MMP11"	chr22	+	23779186	23780502	23779186	23779416	23780358	23780502	77	0,6	2,1	2,2	6,7	1041	99	0.244095071679	0.4334288237797614	0.0,0.363	0.031,0.026	0.153
78	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557580	22556811	22556909	22557544	22557580	78	2219,2892	388,472	3195,2739	575,443	734	99	0.918739934231	1.0	0.435,0.452	0.428,0.455	0.002
79	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557580	22556811	22556930	22557544	22557580	79	2043,2685	300,363	2852,2404	734,817	713	99	3.23678861491e-11	7.805718044143896e-10	0.486,0.507	0.35,0.29	0.177
80	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557580	22556811	22556977	22557544	22557580	80	1966,2597	0,2	2726,2312	7,6	666	99	0.281611442317	0.4844394784574876	1.0,0.995	0.983,0.983	0.015
81	"ENSG00000185686"	"PRAME"	chr22	-	22556811	22557580	22556811	22557086	22557544	22557580	81	1768,2381	3,4	2443,2081	6,18	557	99	0.00326014691995	0.012201044510792507	0.991,0.991	0.986,0.954	0.021
84	"ENSG00000093072"	"ADA2"	chr22	-	17178789	17181576	17178789	17179760	17181486	17181576	84	4048,5074	0,2	1402,1098	0,0	1825	99	1	1.0	1.0,0.993	1.0,1.0	-0.004
86	"ENSG00000093072"	"ADA2"	chr22	-	17189941	17191810	17189941	17190032	17191682	17191810	86	232,329	258,351	43,36	57,72	1749	99	0.0179872041493	0.05181308488993957	0.048,0.05	0.041,0.028	0.014
88	"ENSG00000251322"	"SHANK3"	chr22	+	50697998	50698803	50697998	50698342	50698689	50698803	88	3,1	0,4	2,4	0,0	446	99	0.000880443768383	0.003938773658325572	1.0,0.053	1.0,1.0	-0.474
89	"ENSG00000099957"	"P2RX6"	chr22	+	21026010	21026329	21026010	21026076	21026251	21026329	89	0,1	4,7	0,2	3,1	274	99	0.428849987575	0.6638787069440872	0.0,0.049	0.0,0.419	-0.185
90	"ENSG00000099957"	"P2RX6"	chr22	+	21026419	21028008	21026419	21026957	21027507	21028008	90	0,6	0,0	2,2	3,0	649	99	1	1.0	NA,1.0	0.092,1.0	0.454
91	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38740266	38740432	38740888	38741050	91	588,748	1,16	473,447	16,4	555	99	0.143508841264	0.28459338246342114	0.991,0.893	0.841,0.952	0.045
92	"ENSG00000100242"	"SUN2"	chr22	-	38740266	38741050	38740266	38740432	38741006	38741050	92	785,908	964,1210	592,601	637,843	673	99	0.74018272716	0.9518397109637927	0.107,0.099	0.12,0.095	-0.004
93	"ENSG00000100242"	"SUN2"	chr22	-	38750897	38751373	38750897	38751035	38751209	38751373	93	87,108	1315,1624	47,97	751,1093	273	99	0.360583121598	0.5844612370031014	0.023,0.024	0.022,0.031	-0.003
94	"ENSG00000100350"	"FOXRED2"	chr22	-	36505895	36507040	36505895	36506423	36507008	36507040	94	91,179	0,0	244,313	2,2	684	99	0.300552843299	0.509303094365038	1.0,1.0	0.946,0.958	0.048
95	"ENSG00000100241"	"SBF1"	chr22	-	50446805	50447453	50446805	50447201	50447321	50447453	95	222,319	2,6	286,177	11,0	219	99	0.295166330152	0.5026784638890587	0.98,0.96	0.922,1.0	0.009
96	"ENSG00000100241"	"SBF1"	chr22	-	50446805	50447453	50446805	50447240	50447321	50447453	96	26,32	746,943	24,13	674,589	180	99	0.461968392931	0.6983369418704265	0.019,0.018	0.019,0.012	0.003
97	"ENSG00000100241"	"SBF1"	chr22	-	50446805	50447609	50446805	50447453	50447521	50447609	97	18,36	768,798	15,12	614,590	167	99	0.0790758221138	0.17657063635769518	0.014,0.026	0.014,0.012	0.007
98	"ENSG00000100241"	"SBF1"	chr22	-	50447321	50447609	50447321	50447422	50447521	50447609	98	196,258	2,10	180,162	3,4	198	99	0.576488655644	0.8115660867718507	0.98,0.928	0.968,0.953	-0.006
99	"ENSG00000100241"	"SBF1"	chr22	-	50447521	50448444	50447521	50447609	50448232	50448444	99	79,102	671,706	58,55	490,449	722	99	0.593053703018	0.8262493999259625	0.016,0.019	0.016,0.017	0.001
101	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448650	50448232	50448375	50448542	50448650	101	393,464	1,2	352,298	0,0	266	99	1	1.0	0.993,0.989	1.0,1.0	-0.009
102	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448650	50448232	50448433	50448542	50448650	102	44,57	4,4	42,47	9,0	208	99	0.777121452268	0.9792300181642056	0.84,0.872	0.69,1.0	0.011
103	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448650	50448232	50448444	50448542	50448650	103	9,20	624,694	14,19	543,405	197	99	0.100331730451	0.21382490027350648	0.007,0.014	0.013,0.023	-0.007
104	"ENSG00000100241"	"SBF1"	chr22	-	50448232	50448650	50448232	50448444	50448544	50448650	104	11,22	0,2	19,22	1,0	199	99	0.729770424236	0.9452229546541141	1.0,0.845	0.904,1.0	-0.029
106	"ENSG00000100241"	"SBF1"	chr22	-	50454511	50454944	50454511	50454725	50454813	50454944	106	109,145	18,11	104,76	11,5	187	99	0.384823006471	0.6130634064691798	0.762,0.875	0.833,0.889	-0.042
107	"ENSG00000100241"	"SBF1"	chr22	-	50454511	50454944	50454511	50454742	50454813	50454944	107	20,28	563,688	35,13	490,355	170	99	0.11077896949	0.23117396093951598	0.02,0.023	0.04,0.021	-0.009
108	"ENSG00000100241"	"SBF1"	chr22	-	50454813	50455142	50454813	50454927	50455015	50455142	108	105,179	2,0	103,111	1,0	187	99	1	1.0	0.965,1.0	0.982,1.0	-0.009
109	"ENSG00000100241"	"SBF1"	chr22	-	50454813	50455142	50454813	50454944	50455015	50455142	109	42,62	635,739	47,52	517,451	170	99	0.0898612345318	0.19561612041802556	0.037,0.047	0.05,0.063	-0.015
110	"ENSG00000100241"	"SBF1"	chr22	-	50454813	50455409	50454813	50454944	50455223	50455409	110	60,83	0,0	52,46	2,2	378	99	0.0140952779125	0.04232886122157799	1.0,1.0	0.872,0.858	0.135
111	"ENSG00000100241"	"SBF1"	chr22	-	50454813	50455409	50454813	50455142	50455223	50455409	111	33,43	641,731	26,28	523,391	180	99	0.793978324368	0.9917783964220154	0.028,0.031	0.027,0.038	-0.003
112	"ENSG00000100241"	"SBF1"	chr22	-	50455015	50455409	50455015	50455130	50455223	50455409	112	111,119	7,20	61,78	6,17	192	99	0.377320520582	0.604232901329516	0.891,0.754	0.84,0.703	0.051
113	"ENSG00000100241"	"SBF1"	chr22	-	50455480	50456395	50455480	50455582	50456215	50456395	113	168,138	400,496	58,79	312,268	732	99	0.0134609700952	0.040752572077151196	0.054,0.036	0.025,0.038	0.013
115	"ENSG00000100241"	"SBF1"	chr22	-	50456491	50457111	50456491	50456673	50457033	50457111	115	215,336	139,231	147,90	103,99	459	99	0.102083923323	0.21660204462017899	0.25,0.239	0.235,0.164	0.045
116	"ENSG00000100241"	"SBF1"	chr22	-	50456491	50459392	50456491	50456673	50459254	50459392	116	841,1121	267,353	483,397	204,270	2680	99	1.77903759595e-05	0.00012782898629372578	0.104,0.105	0.08,0.052	0.038
117	"ENSG00000100241"	"SBF1"	chr22	-	50456491	50459392	50456491	50457111	50459254	50459392	117	661,844	167,292	351,318	132,106	2242	99	0.204032234034	0.3767687844078435	0.149,0.113	0.105,0.117	0.02
118	"ENSG00000100241"	"SBF1"	chr22	-	50459469	50460159	50459469	50459666	50459951	50460159	118	162,204	359,406	57,41	330,357	384	99	6.99440505514e-15	2.949498568880622e-13	0.104,0.115	0.043,0.029	0.074
119	"ENSG00000100241"	"SBF1"	chr22	-	50459469	50460159	50459469	50459666	50459969	50460159	119	225,309	7,5	112,95	2,0	402	99	0.0368414755683	0.09414094932469241	0.888,0.938	0.932,1.0	-0.053
121	"ENSG00000100241"	"SBF1"	chr22	-	50460533	50461286	50460533	50460685	50461158	50461286	121	170,147	5,2	145,106	0,6	572	99	0.845210652075	1.0	0.855,0.927	1.0,0.754	0.014
122	"ENSG00000100241"	"SBF1"	chr22	-	50460533	50461286	50460533	50460712	50461158	50461286	122	14,15	459,551	37,26	286,274	545	99	0.000158695367106	0.0008855040838445422	0.006,0.005	0.023,0.017	-0.015
123	"ENSG00000100241"	"SBF1"	chr22	-	50461795	50462119	50461795	50461869	50461946	50462119	123	8,14	431,408	11,4	260,285	176	99	0.957044596339	1.0	0.01,0.019	0.023,0.008	-0.001
125	"ENSG00000100241"	"SBF1"	chr22	-	50463282	50464441	50463282	50463432	50464328	50464441	125	33,35	344,514	5,11	195,214	995	99	1	1.0	0.009,0.007	0.003,0.005	0.004
126	"ENSG00000100241"	"SBF1"	chr22	-	50465960	50466258	50465960	50465998	50466149	50466258	126	232,274	0,3	205,134	0,0	250	99	0.930753651945	1.0	1.0,0.973	1.0,1.0	-0.014
128	"ENSG00000100241"	"SBF1"	chr22	-	50465960	50466258	50465960	50466074	50466149	50466258	128	5,21	403,552	34,17	243,193	174	99	1.81118035014e-08	2.6521591578805277e-07	0.007,0.021	0.074,0.048	-0.047
129	"ENSG00000100241"	"SBF1"	chr22	-	50467337	50467693	50467337	50467443	50467531	50467693	129	47,57	8,23	19,22	6,1	187	99	0.241534301386	0.42977177860174354	0.757,0.567	0.626,0.921	-0.112
130	"ENSG00000100241"	"SBF1"	chr22	-	50467337	50467693	50467337	50467448	50467531	50467693	130	46,43	416,517	15,20	234,202	182	99	0.37385948481	0.6001817441811462	0.057,0.043	0.034,0.051	0.008
131	"ENSG00000100241"	"SBF1"	chr22	-	50467337	50467693	50467337	50467448	50467540	50467693	131	84,92	35,48	29,32	18,17	191	99	0.44970383322	0.6857072675279076	0.554,0.498	0.455,0.494	0.051
132	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467923	50467531	50467611	50467785	50467923	132	301,345	10,14	180,134	4,5	273	99	0.376828491385	0.603817580568531	0.916,0.899	0.942,0.907	-0.017
133	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467923	50467531	50467690	50467785	50467923	133	30,31	409,524	18,9	247,217	194	99	0.539992667581	0.7791928600827555	0.036,0.029	0.036,0.021	0.004
134	"ENSG00000100241"	"SBF1"	chr22	-	50467531	50467923	50467531	50467693	50467785	50467923	134	4,2	73,99	3,0	34,41	191	99	0.93685156168	1.0	0.028,0.01	0.044,0.0	-0.003
135	"ENSG00000133460"	"SLC2A11"	chr22	+	23882758	23884024	23882758	23882869	23883873	23884024	135	193,198	1,2	367,289	0,4	1103	99	0.454896333567	0.6907024596355803	0.945,0.899	1.0,0.866	-0.011
136	"ENSG00000133460"	"SLC2A11"	chr22	+	23882758	23884024	23882758	23882869	23883948	23884024	136	204,220	0,2	405,319	3,0	1178	99	0.608953719234	0.8401395952501269	1.0,0.902	0.919,1.0	-0.008
137	"ENSG00000133460"	"SLC2A11"	chr22	+	23883771	23884429	23883771	23883873	23884301	23884429	137	99,92	1,0	237,211	9,11	527	99	4.71326129957e-05	0.0003031019787398474	0.949,1.0	0.832,0.783	0.167
138	"ENSG00000187860"	"CCDC157"	chr22	+	30370325	30371727	30370325	30370950	30371649	30371727	138	36,44	2,5	73,79	3,0	798	99	0.017579178896	0.05080843578293334	0.691,0.522	0.751,1.0	-0.269
141	"ENSG00000206140"	"TMEM191C"	chr22	+	21467893	21468431	21467893	21468202	21468314	21468431	141	39,39	10,9	46,39	9,6	211	99	0.390238165646	0.6197897820193626	0.647,0.67	0.706,0.753	-0.071
142	"ENSG00000206140"	"TMEM191C"	chr22	+	21467893	21468431	21467893	21468017	21468353	21468431	142	57,51	0,0	51,48	2,0	435	99	0.694530296009	0.9149247797735125	1.0,1.0	0.853,1.0	0.074
143	"ENSG00000206140"	"TMEM191C"	chr22	+	21468943	21469346	21468943	21469003	21469273	21469346	143	12,3	1,5	7,9	1,1	369	99	0.164135112262	0.316025614103257	0.763,0.139	0.653,0.707	-0.229
144	"ENSG00000206140"	"TMEM191C"	chr22	+	21468943	21469346	21468943	21469062	21469273	21469346	144	6,3	1,1	0,7	2,2	310	99	0.116370643887	0.24037266029870957	0.657,0.489	0.0,0.528	0.309
146	"ENSG00000206140"	"TMEM191C"	chr22	+	21469493	21469933	21469493	21469534	21469616	21469933	146	2,0	0,0	4,2	0,1	181	99	1	1.0	1.0,NA	1.0,0.522	0.239
147	"ENSG00000100299"	"ARSA"	chr22	-	50626590	50627406	50626590	50626760	50627165	50627406	147	559,814	2,10	652,509	35,23	504	99	1.16453291454e-09	2.160264543631053e-08	0.982,0.941	0.785,0.813	0.163
148	"ENSG00000100299"	"ARSA"	chr22	-	50627555	50628170	50627555	50627792	50627945	50628170	148	402,540	48,112	597,475	65,52	252	99	0.0402550218564	0.10141952453994085	0.767,0.654	0.783,0.782	-0.072
149	"ENSG00000025770"	"NCAPH2"	chr22	+	50523016	50523472	50523016	50523166	50523234	50523472	149	50,21	286,259	28,59	266,434	167	99	0.846159558581	1.0	0.094,0.046	0.059,0.075	0.003
153	"ENSG00000100276"	"RASL10A"	chr22	-	29312932	29313987	29312932	29313568	29313862	29313987	153	4,4	5,6	19,15	7,8	393	99	0.0188406547043	0.0539092815547212	0.168,0.144	0.406,0.321	-0.208
154	"ENSG00000161179"	"YDJC"	chr22	-	21629009	21629407	21629009	21629187	21629307	21629407	154	38,42	104,101	80,119	162,156	219	99	0.0130585758015	0.03973699899849192	0.142,0.158	0.182,0.256	-0.069
155	"ENSG00000161179"	"YDJC"	chr22	-	21629307	21629761	21629307	21629407	21629542	21629761	155	145,149	40,85	274,330	104,115	234	99	0.665620020124	0.890886167329403	0.605,0.426	0.527,0.548	-0.022
156	"ENSG00000161179"	"YDJC"	chr22	-	21629009	21629761	21629009	21629407	21629601	21629761	156	205,231	134,183	416,478	206,203	293	99	0.000884590009796	0.003952739493686006	0.341,0.299	0.406,0.443	-0.104
157	"ENSG00000128298"	"BAIAP2L2"	chr22	-	38086241	38087264	38086241	38086449	38087123	38087264	157	17,31	24,35	17,16	9,7	773	99	0.0180580489807	0.051978352847468066	0.083,0.102	0.195,0.226	-0.118
158	"ENSG00000128298"	"BAIAP2L2"	chr22	-	38087123	38088964	38087123	38087264	38088747	38088964	158	48,97	24,11	111,84	8,6	1582	99	0.00346874011616	0.012881745657558575	0.111,0.356	0.465,0.467	-0.233
160	"ENSG00000133424"	"LARGE1"	chr22	-	33162225	33166832	33162225	33164364	33166635	33166832	160	15,38	0,0	8,9	4,0	2370	99	0.000359667553195	0.0018296338220209721	1.0,1.0	0.077,1.0	0.462
161	"ENSG00000188130"	"MAPK12"	chr22	-	50255614	50256199	50255614	50255694	50256084	50256199	161	51,65	0,0	138,145	2,3	489	99	0.0177515751018	0.05121080563012733	1.0,1.0	0.933,0.907	0.08
162	"ENSG00000128159"	"TUBGCP6"	chr22	-	50217917	50218402	50217917	50218117	50218188	50218402	162	111,124	119,188	147,153	110,133	170	99	0.00421633876741	0.015211541032306205	0.352,0.278	0.438,0.401	-0.104
163	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219287	50219791	50219287	50219456	50219643	50219791	163	149,156	122,197	116,157	114,112	286	99	0.209116740001	0.3839528628569396	0.297,0.215	0.26,0.327	-0.037
164	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50220191	50221874	164	398,496	6,13	288,310	0,4	275	99	0.00613839035657	0.020913888910221057	0.96,0.932	1.0,0.965	-0.036
165	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50220250	50221874	165	507,612	66,80	354,392	83,75	334	99	0.00226046947258	0.008950252909132816	0.695,0.694	0.558,0.608	0.111
166	"ENSG00000128159"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50221274	50221874	166	2241,2839	0,2	1951,2113	0,0	1358	99	1	1.0	1.0,0.99	1.0,1.0	-0.005
167	"ENSG00000170638"	"TRABD"	chr22	+	50197822	50198186	50197822	50197995	50198074	50198186	167	154,141	135,205	379,378	341,377	178	99	0.287935979823	0.49301130603374554	0.388,0.277	0.382,0.358	-0.037
168	"ENSG00000184702"	"SEPTIN5"	chr22	+	19721821	19722339	19721821	19721957	19722236	19722339	168	99,152	248,375	240,169	544,349	378	99	0.32586666425	0.5411476324547557	0.095,0.096	0.104,0.113	-0.013
169	"ENSG00000184702"	"SEPTIN5"	chr22	+	19722236	19723319	19722236	19722339	19722427	19723319	169	0,0	344,369	2,0	687,387	187	99	1	1.0	0.0,0.0	0.002,0.0	-0.001
170	"ENSG00000100417"	"PMM1"	chr22	-	41583958	41584372	41583958	41584058	41584280	41584372	170	288,347	584,554	208,211	397,701	321	99	0.00525000337405	0.01832396021598546	0.132,0.162	0.139,0.085	0.035
171	"ENSG00000015475"	"BID"	chr22	-	17739348	17740176	17739348	17739488	17740081	17740176	171	56,76	1,0	80,50	4,0	692	99	0.0252291664018	0.06857818848985228	0.889,1.0	0.741,1.0	0.074
172	"ENSG00000075275"	"CELSR1"	chr22	-	46361173	46364251	46361173	46363247	46363995	46364251	172	15,6	0,1	17,4	7,2	847	99	0.00114348762811	0.0049574685540027365	1.0,0.412	0.221,0.189	0.501
